時間戳記,您的（生理）性別是？,您目前的年級是？,您目前就讀的院所為？,您目前就讀的科系為？,您目前就讀的科系為？,您目前就讀的科系為？,您目前就讀的科系為？,您目前就讀的科系為？,請問您「目前」的感情狀況？,截至目前為止，您曾經有過幾段戀愛關係？（含現在）,關於目前的單身狀態，哪一個選項最貼近您的情況？,關於您目前的感情關係狀況，以下哪一個選項最符合您的情況？,若您目前有伴侶，您與您的伴侶大約交往了多久？（若有多位則取最久的一位）,請問您的自我性別認同（心理性別）是？,請問您的性取向是？,"請問您對開放式關係的接受度為？（1～5分，1代表最不能接受；5代表最能接受）
(*開放式關係係經由伴侶間知情同意，同意伴侶能夠與他人發生性行為及建立情感連結的戀愛關係。)",若您的伴侶在交往過程期間向您提出希望嘗試開放式關係，您是否會同意?,若您發現您的伴侶在交往期間與其他人發展浪漫關係，您會？
2025/5/2 下午 2:15:13,生理女,二年級,商學院,企業管理學系,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,其他或尚在探索中,3,可能不會同意,與對方溝通後決定
2025/5/2 下午 1:06:43,生理男,三年級,商學院,企業管理學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,2,可能不會同意,立即分手
2025/5/2 下午 2:53:05,生理女,二年級,商學院,企業管理學系,,,,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/5 上午 9:56:09,生理女,一年級,商學院,企業管理學系,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,雙性戀,1,可能不會同意,與對方溝通後決定
2025/5/5 下午 12:33:28,生理女,一年級,商學院,企業管理學系,,,,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:06:08,生理女,四年級（含延長修業）,商學院,企業管理學系,,,,,單身,3或以上,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,2,可能不會同意,立即分手
2025/5/4 下午 7:47:07,生理女,四年級（含延長修業）,商學院,休閒運動管理學系,,,,,非單身,1,,我目前有一位伴侶,兩年以上，未達三年,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/5 下午 12:24:15,生理女,一年級,商學院,休閒運動管理學系,,,,,非單身,1,,我目前有一位伴侶,0～6個月,女性,異性戀,1,可能不會同意,立即分手
2025/5/5 下午 12:24:26,生理女,一年級,商學院,休閒運動管理學系,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/5 下午 12:33:30,生理女,二年級,商學院,休閒運動管理學系,,,,,非單身,3或以上,,我目前有一位伴侶,一年以上，未達兩年,女性,雙性戀,2,可能不會同意,立即分手
2025/5/2 下午 2:20:04,生理女,一年級,商學院,金融與合作經營學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,其他或尚在探索中,1,可能不會同意,立即分手
2025/5/2 下午 1:12:43,生理女,三年級,商學院,金融與合作經營學系,,,,,非單身,2,,我目前有一位伴侶,兩年以上，未達三年,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 1:15:17,生理女,一年級,商學院,金融與合作經營學系,,,,,單身,1,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 1:16:06,生理女,一年級,商學院,金融與合作經營學系,,,,,非單身,1,,我目前有一位伴侶,0～6個月,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 1:46:01,生理女,二年級,商學院,金融與合作經營學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,2,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:13:38,生理女,二年級,商學院,金融與合作經營學系,,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,4,可能不會同意,立即分手
2025/5/2 下午 2:14:12,生理男,一年級,商學院,金融與合作經營學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:14:27,生理男,一年級,商學院,金融與合作經營學系,,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:14:47,生理男,一年級,商學院,金融與合作經營學系,,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,3,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:15:11,生理男,一年級,商學院,金融與合作經營學系,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:14:36,生理男,一年級,商學院,金融與合作經營學系,,,,,單身,1,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,非二元性別（如無性別、性別流動等）,無性戀,5,可能會同意,立即分手
2025/5/2 上午 10:24:55,生理女,四年級（含延長修業）,商學院,金融與合作經營學系,,,,,非單身,3或以上,,我目前有一位伴侶,一年以上，未達兩年,女性,雙性戀,3,可能不會同意,立即分手
2025/5/2 下午 1:11:24,生理女,一年級,商學院,金融與合作經營學系,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,雙性戀,3,可能不會同意,立即分手
2025/5/2 下午 1:45:26,生理女,三年級,商學院,金融與合作經營學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,雙性戀,2,可能不會同意,與對方溝通後決定
2025/5/2 下午 5:16:13,生理女,二年級,商學院,金融與合作經營學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,其他或尚在探索中,1,可能不會同意,與對方溝通後決定
2025/5/4 下午 9:01:19,生理男,三年級,商學院,金融與合作經營學系,,,,,非單身,1,,我目前有一位伴侶,兩年以上，未達三年,男性,異性戀,1,可能不會同意,立即分手
2025/5/5 上午 10:51:49,生理女,一年級,商學院,金融與合作經營學系,,,,,非單身,3或以上,,我目前有一位伴侶,7～12個月,女性,異性戀,1,可能不會同意,立即分手
2025/5/5 下午 12:31:10,生理女,一年級,商學院,金融與合作經營學系,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,雙性戀,1,可能不會同意,與對方溝通後決定
2025/5/6 下午 2:05:10,生理男,二年級,商學院,金融與合作經營學系,,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,4,可能不會同意,與對方溝通後決定
2025/5/6 下午 2:05:15,生理男,二年級,商學院,金融與合作經營學系,,,,,非單身,1,,我目前有一位伴侶,三年以上,男性,異性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:11:55,生理女,三年級,商學院,金融與合作經營學系,,,,,單身,2,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:11:56,生理女,二年級,商學院,金融與合作經營學系,,,,,非單身,1,,我目前有一位伴侶,三年以上,女性,異性戀,1,可能不會同意,立即分手
2025/5/4 下午 9:06:57,生理男,三年級,商學院,統計學系,,,,,單身,2,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 1:42:48,生理女,三年級,商學院,統計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:14:08,生理女,二年級,商學院,統計學系,,,,,非單身,3或以上,,我目前有一位伴侶,0～6個月,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:14:21,生理男,四年級（含延長修業）,商學院,統計學系,,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:14:31,生理男,一年級,商學院,統計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:15:16,生理女,二年級,商學院,統計學系,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,3,可能會同意,立即分手
2025/5/2 下午 2:16:51,生理男,一年級,商學院,統計學系,,,,,單身,2,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,4,可能會同意,與對方溝通後決定
2025/5/2 下午 2:17:02,生理男,一年級,商學院,統計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,2,可能不會同意,立即分手
2025/5/2 下午 2:20:06,生理男,三年級,商學院,統計學系,,,,,非單身,3或以上,,我目前有一位伴侶,7～12個月,男性,異性戀,4,可能不會同意,立即分手
2025/5/2 下午 2:27:37,生理男,四年級（含延長修業）,商學院,統計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 3:05:21,生理男,三年級,商學院,統計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 5:08:14,生理女,四年級（含延長修業）,商學院,統計學系,,,,,單身,2,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,雙性戀,2,可能會同意,立即分手
2025/5/3 下午 3:53:47,生理男,三年級,商學院,統計學系,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,男性,異性戀,2,可能不會同意,與對方溝通後決定
2025/5/5 下午 1:31:03,生理女,四年級（含延長修業）,商學院,統計學系,,,,,非單身,3或以上,,我目前有一位伴侶,0～6個月,女性,異性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:05:19,生理男,二年級,商學院,統計學系,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 12:54:18,生理男,一年級,商學院,會計學系,,,,,單身,2,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:14:10,生理女,一年級,商學院,會計學系,,,,,非單身,3或以上,,我目前有一位伴侶,0～6個月,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 4:44:28,生理女,二年級,商學院,會計學系,,,,,非單身,3或以上,,我目前有一位伴侶,兩年以上，未達三年,女性,異性戀,2,可能會同意,與對方溝通後決定
2025/5/4 下午 12:34:24,生理女,三年級,商學院,會計學系,,,,,單身,2,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/5 下午 12:17:56,生理男,一年級,商學院,會計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,2,可能不會同意,與對方溝通後決定
2025/5/5 下午 12:31:20,生理女,四年級（含延長修業）,商學院,會計學系,,,,,單身,3或以上,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/5 下午 12:31:29,生理男,四年級（含延長修業）,商學院,會計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/6 下午 2:05:31,生理女,一年級,商學院,會計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:05:32,生理女,一年級,商學院,會計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:06:11,生理女,一年級,商學院,會計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:06:12,生理女,一年級,商學院,會計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:07:46,生理女,二年級,商學院,會計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,其他或尚在探索中,1,可能不會同意,立即分手
2025/5/2 下午 7:52:17,生理女,三年級,公共事務學院,,不動產與城鄉環境學系,,,,非單身,3或以上,,我目前有一位伴侶,一年以上，未達兩年,女性,異性戀,1,可能不會同意,立即分手
2025/5/5 下午 12:24:47,生理女,一年級,公共事務學院,,不動產與城鄉環境學系,,,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/5 下午 12:25:13,生理男,一年級,公共事務學院,,不動產與城鄉環境學系,,,,非單身,1,,我目前有一位伴侶,一年以上，未達兩年,男性,雙性戀,3,可能不會同意,立即分手
2025/5/6 下午 2:05:04,生理男,二年級,公共事務學院,,不動產與城鄉環境學系,,,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,男性,同性戀,3,可能會同意,與對方溝通後決定
2025/5/2 下午 2:13:31,生理女,一年級,公共事務學院,,公共行政暨政策學系,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,其他或尚在探索中,2,可能不會同意,與對方溝通後決定
2025/5/2 下午 1:14:52,生理女,三年級,公共事務學院,,公共行政暨政策學系,,,,非單身,1,,我目前有一位伴侶,兩年以上，未達三年,女性,異性戀,2,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:13:20,生理男,一年級,公共事務學院,,公共行政暨政策學系,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:13:37,生理男,一年級,公共事務學院,,公共行政暨政策學系,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:13:56,生理女,二年級,公共事務學院,,公共行政暨政策學系,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:14:44,生理女,一年級,公共事務學院,,公共行政暨政策學系,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,4,可能會同意,與對方溝通後決定
2025/5/2 下午 2:15:22,生理女,二年級,公共事務學院,,公共行政暨政策學系,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:56:45,生理女,三年級,公共事務學院,,公共行政暨政策學系,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:12:52,生理男,一年級,公共事務學院,,公共行政暨政策學系,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,雙性戀,2,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:13:41,生理男,一年級,公共事務學院,,公共行政暨政策學系,,,,單身,1,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,男性,雙性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:14:48,生理女,二年級,公共事務學院,,公共行政暨政策學系,,,,非單身,1,,我目前有一位伴侶,一年以上，未達兩年,女性,雙性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:21:35,生理女,一年級,公共事務學院,,公共行政暨政策學系,,,,非單身,2,,我目前有一位伴侶,7～12個月,女性,雙性戀,1,可能不會同意,立即分手
2025/5/2 下午 3:10:33,生理女,一年級,公共事務學院,,公共行政暨政策學系,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,雙性戀,1,可能不會同意,立即分手
2025/5/4 上午 9:19:02,生理女,四年級（含延長修業）,公共事務學院,,公共行政暨政策學系,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,2,可能不會同意,立即分手
2025/5/4 上午 10:59:56,生理女,四年級（含延長修業）,公共事務學院,,公共行政暨政策學系,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/4 上午 11:06:56,生理女,四年級（含延長修業）,公共事務學院,,公共行政暨政策學系,,,,非單身,3或以上,,我目前有一位伴侶,一年以上，未達兩年,女性,雙性戀,4,可能會同意,與對方溝通後決定
2025/5/5 下午 12:23:34,生理女,四年級（含延長修業）,公共事務學院,,公共行政暨政策學系,,,,非單身,3或以上,,我目前有一位伴侶,一年以上，未達兩年,女性,異性戀,1,可能不會同意,立即分手
2025/5/5 下午 12:23:38,生理女,四年級（含延長修業）,公共事務學院,,公共行政暨政策學系,,,,非單身,3或以上,,我目前有一位伴侶,一年以上，未達兩年,女性,異性戀,1,可能不會同意,立即分手
2025/5/5 下午 12:24:33,生理女,一年級,公共事務學院,,公共行政暨政策學系,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/5 下午 12:25:24,生理男,一年級,公共事務學院,,公共行政暨政策學系,,,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/5 下午 3:09:55,生理男,一年級,公共事務學院,,公共行政暨政策學系,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/6 下午 2:05:33,生理女,四年級（含延長修業）,公共事務學院,,公共行政暨政策學系,,,,非單身,2,,我目前有一位伴侶,一年以上，未達兩年,女性,同性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:08:18,生理女,二年級,公共事務學院,,公共行政暨政策學系,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 1:40:36,生理女,二年級,公共事務學院,,財政學系,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:29:02,生理女,二年級,公共事務學院,,財政學系,,,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:59:16,生理女,二年級,公共事務學院,,財政學系,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 3:42:09,生理女,三年級,公共事務學院,,財政學系,,,,單身,3或以上,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,3,可能會同意,與對方溝通後決定
2025/5/2 下午 4:38:54,生理女,二年級,公共事務學院,,財政學系,,,,非單身,3或以上,,我目前有一位伴侶,一年以上，未達兩年,女性,雙性戀,1,可能不會同意,立即分手
2025/5/3 下午 3:59:51,生理女,二年級,公共事務學院,,財政學系,,,,單身,1,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 1:35:30,生理女,三年級,人文學院,,,,應用外語學系,,非單身,1,,我目前有一位伴侶,一年以上，未達兩年,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:13:27,生理男,一年級,人文學院,,,,中國文學系,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 12:19:42,生理女,一年級,法律學院,,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,其他或尚在探索中,1,可能不會同意,立即分手
2025/5/2 下午 1:19:36,生理女,一年級,法律學院,,,,,,非單身,1,,我目前有一位伴侶,0～6個月,女性,其他或尚在探索中,4,可能會同意,與對方溝通後決定
2025/5/2 下午 12:48:51,生理男,一年級,法律學院,,,,,,單身,3或以上,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,雙性戀,1,可能不會同意,與對方溝通後決定
2025/5/3 下午 8:06:22,生理女,三年級,法律學院,,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,雙性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 1:12:11,生理女,一年級,社會科學學院,,,經濟學系,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,同性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:13:21,生理男,四年級（含延長修業）,社會科學學院,,,社會工作學系,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,其他或尚在探索中,2,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:04:27,生理女,一年級,社會科學學院,,,經濟學系,,,非單身,2,,我目前有一位伴侶,0～6個月,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:15:10,生理女,四年級（含延長修業）,社會科學學院,,,社會工作學系,,,非單身,1,,我目前有一位伴侶,兩年以上，未達三年,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 3:07:12,生理男,二年級,社會科學學院,,,經濟學系,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 4:14:49,生理男,三年級,社會科學學院,,,經濟學系,,,單身,1,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:14:57,生理女,三年級,社會科學學院,,,經濟學系,,,非單身,2,,我目前有一位伴侶,一年以上，未達兩年,女性,雙性戀,1,可能不會同意,立即分手
2025/5/2 下午 1:09:53,生理男,三年級,電機資訊學院,,,,,通訊工程學系,非單身,2,,我目前有一位伴侶,0～6個月,男性,異性戀,2,可能不會同意,立即分手
2025/5/2 下午 2:40:11,生理男,二年級,電機資訊學院,,,,,資訊工程學系,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 1:31:59,生理男,三年級,電機資訊學院,,,,,資訊工程學系,單身,3或以上,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 1:36:59,生理男,一年級,電機資訊學院,,,,,資訊工程學系,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 1:37:53,生理男,二年級,電機資訊學院,,,,,資訊工程學系,單身,1,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 1:50:59,生理女,四年級（含延長修業）,電機資訊學院,,,,,資訊工程學系,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,2,可能不會同意,立即分手
2025/5/2 下午 1:51:23,生理女,三年級,電機資訊學院,,,,,資訊工程學系,非單身,1,,我目前有一位伴侶,一年以上，未達兩年,女性,異性戀,1,可能不會同意,立即分手
2025/5/2 下午 2:04:24,生理女,三年級,電機資訊學院,,,,,資訊工程學系,非單身,1,,我目前有一位伴侶,一年以上，未達兩年,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:05:30,生理男,三年級,電機資訊學院,,,,,通訊工程學系,單身,2,自願單身：我目前選擇單身，並享受這樣的狀態。,,,男性,異性戀,4,可能不會同意,與對方溝通後決定
2025/5/2 下午 2:09:40,生理男,四年級（含延長修業）,電機資訊學院,,,,,資訊工程學系,非單身,3或以上,,我目前有一位伴侶,兩年以上，未達三年,男性,異性戀,1,可能不會同意,與對方溝通後決定
